text,level
"Budi membantu ibu menyapu halaman sebelum berangkat sekolah.",SD
"Siti membawa bekal nasi goreng dan buah pisang ke sekolah.",SD
"Setelah hujan reda, anak-anak bermain sepeda di depan rumah.",SD
"Pak guru meminta murid membaca cerita rakyat secara bergantian.",SD
"Kucing kecil itu tidur di atas kursi dekat jendela.",SD
"Setiap pagi, Andi memberi makan ikan di kolam belakang rumah.",SD
"Rina belajar menghitung penjumlahan dan pengurangan di kelas.",SD
"Pohon mangga di halaman rumah mulai berbuah lebat bulan ini.",SD
"Adik senang menggambar pemandangan menggunakan krayon warna-warni.",SD
"Pada hari Minggu, keluarga kami pergi ke pasar tradisional.",SD
"Kereta api berhenti di stasiun selama beberapa menit.",SD
"Made dan teman-temannya mengikuti lomba lari saat peringatan hari kemerdekaan.",SD
"Air sungai mengalir deras setelah hujan turun semalaman.",SD
"Di perpustakaan sekolah, banyak buku cerita dan ensiklopedia anak.",SD
"Dokter memeriksa kesehatan pasien menggunakan stetoskop.",SD
"Kerajaan Majapahit pernah menjadi salah satu kerajaan terbesar di Nusantara.",SMP
"Dalam ekosistem, setiap makhluk hidup memiliki peran untuk menjaga keseimbangan alam.",SMP
"Persamaan linear dua variabel dapat diselesaikan dengan metode eliminasi dan substitusi.",SMP
"Gunung berapi terbentuk akibat aktivitas magma dari dalam bumi.",SMP
"Bahasa Indonesia memiliki berbagai jenis majas yang digunakan dalam karya sastra.",SMP
"Perdagangan antarnegara dapat meningkatkan pertumbuhan ekonomi suatu wilayah.",SMP
"Perubahan wujud benda dapat terjadi karena pengaruh suhu.",SMP
"Penelitian sederhana dilakukan siswa untuk mengamati pertumbuhan kacang hijau.",SMP
"Teknologi komunikasi berkembang pesat sejak ditemukannya internet.",SMP
"Pada sistem pencernaan manusia, usus halus berfungsi menyerap sari makanan.",SMP
"Konflik sosial dapat terjadi akibat perbedaan kepentingan dalam masyarakat.",SMP
"Dalam pelajaran fisika, siswa mempelajari hubungan antara gaya dan gerak.",SMP
"Cuaca ekstrem dapat menyebabkan banjir dan tanah longsor di beberapa daerah.",SMP
"Organisasi ASEAN dibentuk untuk meningkatkan kerja sama negara-negara Asia Tenggara.",SMP
"Seni tari tradisional mencerminkan budaya dan identitas suatu daerah.",SMP
"Fotosintesis dipengaruhi oleh intensitas cahaya, kadar karbon dioksida, dan ketersediaan air.",SMA
"Globalisasi menyebabkan pertukaran budaya dan informasi berlangsung semakin cepat.",SMA
"Hukum Newton menjelaskan hubungan antara gaya, massa, dan percepatan benda.",SMA
"Reaksi redoks melibatkan proses oksidasi dan reduksi yang terjadi secara bersamaan.",SMA
"Demokrasi konstitusional menempatkan hukum sebagai dasar utama dalam pemerintahan.",SMA
"Perkembangan kecerdasan buatan telah memengaruhi berbagai sektor industri modern.",SMA
"Dalam statistika, distribusi normal sering digunakan untuk menganalisis data penelitian.",SMA
"Sistem pernapasan manusia melibatkan pertukaran oksigen dan karbon dioksida di alveolus.",SMA
"Teori evolusi menjelaskan perubahan makhluk hidup secara bertahap dalam jangka waktu panjang.",SMA
"Inflasi yang tinggi dapat menurunkan daya beli masyarakat terhadap barang dan jasa.",SMA
"Pemanasan global dipicu oleh peningkatan emisi gas rumah kaca di atmosfer.",SMA
"Bioteknologi modern memanfaatkan rekayasa genetika untuk menghasilkan produk tertentu.",SMA
"Integral digunakan dalam matematika untuk menghitung luas daerah di bawah kurva.",SMA
"Penelitian ilmiah memerlukan metode yang sistematis agar hasilnya dapat dipertanggungjawabkan.",SMA
"Gelombang elektromagnetik mencakup sinar gamma, cahaya tampak, hingga gelombang radio.",SMA
